state_abbv,state_fips,index_2016,rank_2016,indicator_count_2016
VT,Vermont,.86321557,1,17
WI,Wisconsin,.8442874,2,16
MN,Minnesota,.84365433,3,15
DE,Delaware,.84305668,4,17
ND,North Dakota,.83262801,5,12
NV,Nevada,.81613749,6,17
DC,District of Columbia,.81519681,7,17
IL,Illinois,.81338787,8,17
MA,Massachusetts,.81164986,9,17
CT,Connecticut,.80430448,10,16
NE,Nebraska,.8028146,11,17
PA,Pennsylvania,.79514921,12,16
VA,Virginia,.79468298,13,17
SC,South Carolina,.79330742,14,16
IA,Iowa,.79255372,15,17
MO,Missouri,.79018861,16,16
AK,Alaska,.77914184,17,17
MD,Maryland,.77364576,18,17
WV,West Virginia,.77143788,19,17
WA,Washington,.76837945,20,17
OH,Ohio,.76587355,21,17
LA,Louisiana,.76455539,22,17
CO,Colorado,.76361072,23,17
MI,Michigan,.7636022,24,17
MT,Montana,.75390512,25,17
IN,Indiana,.7527107,26,17
NC,North Carolina,.73585975,27,17
RI,Rhode Island,.73585236,28,16
NM,New Mexico,.73555678,29,14
WY,Wyoming,.72983348,30,16
FL,Florida,.72517055,31,17
OR,Oregon,.72224665,32,16
NH,New Hampshire,.72153139,33,15
GA,Georgia,.71643198,34,17
NJ,New Jersey,.71529627,35,17
AZ,Arizona,.7120325,36,16
ME,Maine,.70671117,37,17
TX,Texas,.70215136,38,16
UT,Utah,.69546705,39,17
HI,Hawaii,.69451648,40,16
TN,Tennessee,.68006825,41,17
NY,New York,.67713737,42,16
MS,Mississippi,.66838461,43,16
KY,Kentucky,.66832715,44,17
SD,South Dakota,.66794509,45,16
AL,Alabama,.65816289,46,14
AR,Arkansas,.64595127,47,16
KS,Kansas,.64065289,48,16
CA,California,.62319618,49,17
OK,Oklahoma,.5955506,50,16
ID,Idaho,.57644933,51,14
